# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
52.5098,True,,2122.3,373,30.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3875,,,,
52.5577,True,,2189.5,373,3.2,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3682,,,,
52.625,True,,2256.2,373,69.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3688,,,,
52.6918,True,,2321.6,373,33.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3702,,,,
52.7572,True,,2387.5,373,2.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3697,,,,
52.8227,True,,2432.0,373,46.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3907,,,,
52.8673,True,,2501.6,373,15.7,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3657,,,,
52.937,True,,2553.8,373,67.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3832,,,,
52.9894,True,,2608.0,373,18.2,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3814,,,,
53.0436,True,,2657.4,373,67.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3862,,,,
53.0928,True,,2721.8,373,34.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.371,,,,
53.1571,True,,2789.4,373,2.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3677,,,,
53.2245,True,,2856.8,373,69.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3677,,,,
53.2925,True,,2946.3,373,59.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3462,,,,
53.3816,True,,2997.1,373,6.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3845,,,,
53.4322,True,,3057.2,373,66.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.375,,,,
53.4924,True,,3149.1,373,61.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3433,,,,
